Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, without waveform uncertainty) ...

0it [00:00, ?it/s]
145it [00:18,  4.42it/s, bound: 0 | nc: 3 | ncall: 441 | eff(%): 32.880 | loglstar:   -inf < -48226.840 <    inf | logz: -48233.634 +/-  0.165 | dlogz: 55214.415 >  0.500]
147it [00:19,  5.08it/s, bound: 0 | nc: 2 | ncall: 444 | eff(%): 33.108 | loglstar:   -inf < -48061.237 <    inf | logz: -48068.037 +/-  0.165 | dlogz: 55015.860 >  0.500]
148it [00:19,  3.87it/s, bound: 0 | nc: 5 | ncall: 449 | eff(%): 32.962 | loglstar:   -inf < -47911.719 <    inf | logz: -47918.525 +/-  0.165 | dlogz: 55009.007 >  0.500]
150it [00:19,  5.05it/s, bound: 0 | nc: 1 | ncall: 451 | eff(%): 33.259 | loglstar:   -inf < -47839.707 <    inf | logz: -47846.521 +/-  0.165 | dlogz: 54826.863 >  0.500]
152it [00:20,  5.55it/s, bound: 0 | nc: 2 | ncall: 454 | eff(%): 33.480 | loglstar:   -inf < -47539.126 <    inf | logz: -47545.947 +/-  0.165 | dlogz: 54771.920 >  0.500]
153it [00:20,  3.83it/s, bound: 0 | nc: 6 | ncall: 460 | eff(%): 33.261 | loglstar:   -inf < -47134.501 <    inf | logz: -47141.326 +/-  0.165 | dlogz: 54486.898 >  0.500]
154it [00:20,  4.06it/s, bound: 0 | nc: 2 | ncall: 462 | eff(%): 33.333 | loglstar:   -inf < -47108.812 <    inf | logz: -47115.641 +/-  0.165 | dlogz: 54082.273 >  0.500]
156it [00:21,  5.30it/s, bound: 0 | nc: 1 | ncall: 464 | eff(%): 33.621 | loglstar:   -inf < -46850.185 <    inf | logz: -46857.020 +/-  0.165 | dlogz: 53804.781 >  0.500]
157it [00:21,  4.30it/s, bound: 0 | nc: 4 | ncall: 468 | eff(%): 33.547 | loglstar:   -inf < -46823.384 <    inf | logz: -46830.225 +/-  0.165 | dlogz: 53797.954 >  0.500]
159it [00:21,  5.01it/s, bound: 0 | nc: 2 | ncall: 471 | eff(%): 33.758 | loglstar:   -inf < -46146.568 <    inf | logz: -46153.418 +/-  0.165 | dlogz: 53400.666 >  0.500]
160it [00:21,  5.03it/s, bound: 0 | nc: 2 | ncall: 473 | eff(%): 33.827 | loglstar:   -inf < -46043.225 <    inf | logz: -46050.078 +/-  0.165 | dlogz: 53094.340 >  0.500]
161it [00:22,  5.04it/s, bound: 0 | nc: 2 | ncall: 475 | eff(%): 33.895 | loglstar:   -inf < -45966.155 <    inf | logz: -45973.012 +/-  0.165 | dlogz: 52990.997 >  0.500]
163it [00:22,  6.31it/s, bound: 0 | nc: 1 | ncall: 477 | eff(%): 34.172 | loglstar:   -inf < -45839.958 <    inf | logz: -45846.823 +/-  0.166 | dlogz: 52810.557 >  0.500]
165it [00:22,  7.33it/s, bound: 0 | nc: 1 | ncall: 479 | eff(%): 34.447 | loglstar:   -inf < -45320.639 <    inf | logz: -45327.512 +/-  0.166 | dlogz: 52323.680 >  0.500]
167it [00:22,  8.10it/s, bound: 0 | nc: 1 | ncall: 481 | eff(%): 34.719 | loglstar:   -inf < -44908.819 <    inf | logz: -44915.701 +/-  0.166 | dlogz: 51880.495 >  0.500]
169it [00:23,  6.80it/s, bound: 0 | nc: 3 | ncall: 485 | eff(%): 34.845 | loglstar:   -inf < -44834.533 <    inf | logz: -44841.422 +/-  0.166 | dlogz: 51833.367 >  0.500]
170it [00:23,  6.41it/s, bound: 0 | nc: 2 | ncall: 487 | eff(%): 34.908 | loglstar:   -inf < -44733.355 <    inf | logz: -44740.249 +/-  0.166 | dlogz: 51782.305 >  0.500]
171it [00:23,  6.08it/s, bound: 0 | nc: 2 | ncall: 489 | eff(%): 34.969 | loglstar:   -inf < -44577.534 <    inf | logz: -44584.431 +/-  0.166 | dlogz: 51681.127 >  0.500]
172it [00:23,  5.82it/s, bound: 0 | nc: 2 | ncall: 491 | eff(%): 35.031 | loglstar:   -inf < -44209.290 <    inf | logz: -44216.192 +/-  0.166 | dlogz: 51525.306 >  0.500]
173it [00:23,  6.44it/s, bound: 0 | nc: 1 | ncall: 492 | eff(%): 35.163 | loglstar:   -inf < -44109.332 <    inf | logz: -44116.237 +/-  0.166 | dlogz: 51157.062 >  0.500]
174it [00:24,  3.61it/s, bound: 0 | nc: 6 | ncall: 498 | eff(%): 34.940 | loglstar:   -inf < -43958.228 <    inf | logz: -43965.137 +/-  0.166 | dlogz: 51057.104 >  0.500]
176it [00:24,  4.52it/s, bound: 0 | nc: 2 | ncall: 501 | eff(%): 35.130 | loglstar:   -inf < -43719.707 <    inf | logz: -43726.624 +/-  0.166 | dlogz: 50724.236 >  0.500]
177it [00:24,  4.64it/s, bound: 0 | nc: 2 | ncall: 503 | eff(%): 35.189 | loglstar:   -inf < -43519.437 <    inf | logz: -43526.358 +/-  0.166 | dlogz: 50667.479 >  0.500]
179it [00:25,  5.31it/s, bound: 0 | nc: 2 | ncall: 506 | eff(%): 35.375 | loglstar:   -inf < -43074.317 <    inf | logz: -43081.246 +/-  0.166 | dlogz: 50330.810 >  0.500]
180it [00:25,  5.26it/s, bound: 0 | nc: 2 | ncall: 508 | eff(%): 35.433 | loglstar:   -inf < -42948.764 <    inf | logz: -42955.697 +/-  0.166 | dlogz: 50022.089 >  0.500]
181it [00:25,  5.22it/s, bound: 0 | nc: 2 | ncall: 510 | eff(%): 35.490 | loglstar:   -inf < -42935.028 <    inf | logz: -42941.965 +/-  0.166 | dlogz: 49896.536 >  0.500]
183it [00:25,  6.50it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%): 35.742 | loglstar:   -inf < -42886.320 <    inf | logz: -42893.265 +/-  0.167 | dlogz: 49879.441 >  0.500]
185it [00:26,  6.59it/s, bound: 0 | nc: 2 | ncall: 515 | eff(%): 35.922 | loglstar:   -inf < -42830.546 <    inf | logz: -42837.499 +/-  0.167 | dlogz: 49789.780 >  0.500]
